id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
19372,15681439,Marshall,705,Germany,Female,36.0,4,154206.07,1,1.0,1.0,160162.42,0
50703,15802570,Balashov,686,France,Female,43.0,8,105419.73,1,1.0,0.0,35356.46,1
127320,15714046,Trevisani,613,Germany,Male,25.0,2,134260.36,2,1.0,0.0,101382.86,0
116274,15671148,Trevisano,581,France,Male,44.0,2,0.0,1,1.0,1.0,107640.25,1
90355,15720671,Okeke,684,France,Male,25.0,8,0.0,1,1.0,1.0,145556.24,0
112457,15757537,Calabresi,704,France,Male,40.0,1,0.0,2,1.0,0.0,139946.68,0
158245,15719348,Ku,601,France,Male,31.0,5,122344.81,2,1.0,0.0,139431.85,0
100645,15659568,Teng,681,Germany,Male,46.0,2,169458.53,2,0.0,1.0,75937.47,0
24889,15792726,Manna,681,France,Female,41.0,1,0.0,2,1.0,1.0,162523.66,0
98300,15809558,Peppin,596,Germany,Male,30.0,10,57657.49,1,1.0,1.0,79240.9,0
26485,15602998,Hales,700,France,Male,37.0,5,0.0,2,1.0,1.0,96583.99,0
52928,15594812,Chukwualuka,730,France,Female,30.0,5,0.0,2,1.0,1.0,9241.52,0
119585,15793723,Ch'iu,607,Germany,Female,32.0,9,144272.07,2,1.0,0.0,176580.63,0
3556,15803526,Ts'ai,775,Spain,Female,37.0,9,0.0,2,1.0,1.0,64421.02,0
61813,15762773,Koehler,669,France,Male,42.0,6,0.0,2,1.0,0.0,134489.14,0
139195,15670103,Zikoranachidimma,597,France,Male,41.0,5,0.0,1,1.0,1.0,91573.19,0
144852,15681446,Toscani,753,France,Female,41.0,8,0.0,3,1.0,0.0,48378.4,1
161282,15637240,Wei,527,France,Male,46.0,4,0.0,1,1.0,0.0,94499.06,1
155660,15672328,Nnachetam,622,France,Female,62.0,3,0.0,2,1.0,1.0,99298.8,0
95940,15811314,Ch'en,575,Germany,Male,67.0,5,108367.04,1,1.0,1.0,199446.31,1
162625,15812007,Wright,579,Germany,Female,34.0,2,148854.55,2,0.0,0.0,126307.97,0
50934,15640407,Lucchesi,590,France,Male,34.0,8,0.0,1,0.0,1.0,142331.99,0
163642,15744273,Patterson,639,Spain,Male,58.0,8,0.0,1,1.0,0.0,65708.5,1
81164,15749482,Teng,659,France,Male,50.0,7,0.0,1,0.0,0.0,192841.13,1
34769,15777060,Udegbulam,650,France,Male,30.0,7,81310.34,1,1.0,0.0,183868.01,0
499,15722765,Owen,580,Spain,Female,57.0,7,136820.99,1,0.0,1.0,108528.74,1
145879,15788218,Yeh,523,France,Male,41.0,8,66250.71,1,1.0,0.0,137491.23,1
143093,15625964,Buckley,648,France,Female,43.0,5,153313.67,1,0.0,0.0,170563.73,1
44947,15676519,Echezonachukwu,579,France,Male,32.0,10,0.0,1,1.0,0.0,99503.48,1
45705,15793478,Yermakova,676,France,Male,34.0,6,0.0,1,0.0,1.0,64440.29,0
107834,15781299,Chiu,649,Spain,Male,37.0,0,128243.99,1,1.0,0.0,145748.25,0
162395,15777907,Liang,791,France,Female,33.0,6,0.0,1,0.0,1.0,144413.92,0
152268,15642937,Padovesi,550,France,Female,46.0,9,0.0,2,0.0,1.0,130590.35,0
49901,15581479,Hs?,850,France,Female,36.0,1,0.0,2,1.0,1.0,85982.47,0
80725,15596623,Liao,693,France,Female,40.0,8,161803.09,1,1.0,1.0,152880.99,0
83522,15769346,Maclean,697,France,Male,49.0,5,0.0,1,0.0,0.0,176913.42,1
103583,15655368,Riddle,602,Spain,Female,41.0,4,0.0,2,1.0,1.0,155047.94,0
62121,15781316,Wright,687,France,Female,39.0,8,95947.72,1,1.0,1.0,71095.33,0
97194,15688074,Ts'ui,639,France,Female,35.0,3,0.0,2,0.0,1.0,164453.98,0
27588,15668104,Kerr,682,Germany,Male,46.0,6,118433.94,2,0.0,1.0,178373.93,1
107064,15656912,Yeh,521,France,Male,41.0,7,0.0,2,0.0,1.0,171706.66,0
80851,15571928,Ch'en,543,Spain,Male,39.0,2,0.0,2,1.0,0.0,9241.02,0
81517,15663421,Chin,677,France,Male,34.0,1,124577.33,1,0.0,0.0,136812.02,0
81379,15812594,Doherty,722,France,Female,40.0,7,89175.06,2,0.0,1.0,152883.95,0
91942,15810786,Ositadimma,428,Spain,Female,40.0,0,0.0,2,1.0,0.0,72873.33,0
101416,15781598,Muecke,680,Germany,Female,58.0,2,112615.91,1,0.0,1.0,113581.81,1
75986,15775335,Manna,615,France,Male,41.0,0,0.0,2,0.0,1.0,185830.76,0
40255,15664668,Marchesi,678,France,Male,33.0,9,152763.41,1,0.0,1.0,24748.89,0
46163,15647890,Su,691,France,Male,37.0,9,149405.18,1,1.0,0.0,146411.6,0
118902,15686983,Henderson,697,France,Female,35.0,2,0.0,2,0.0,1.0,48505.1,0
162906,15606861,Chu,585,Germany,Female,37.0,5,128914.17,1,1.0,0.0,134878.34,1
97951,15669204,Grant,850,France,Female,34.0,9,0.0,2,1.0,1.0,69055.45,0
112599,15583595,Ts'ai,738,Spain,Male,43.0,0,0.0,2,1.0,1.0,84421.34,0
79710,15587066,Onyemachukwu,850,Germany,Female,40.0,5,129914.67,1,0.0,1.0,103934.12,1
18081,15777923,Johnston,544,France,Female,49.0,6,0.0,2,0.0,1.0,151401.33,0
128444,15663489,Onio,633,Germany,Female,29.0,0,138577.34,1,1.0,0.0,193362.99,1
51030,15595047,Macleod,634,France,Female,44.0,9,0.0,1,1.0,0.0,105746.94,1
78261,15586680,Olisaemeka,627,France,Male,39.0,2,0.0,2,0.0,0.0,129890.92,0
122471,15605326,Pirozzi,493,Germany,Male,48.0,7,124523.35,1,1.0,0.0,124592.9,1
128035,15612103,Iloerika,765,France,Female,24.0,5,0.0,1,1.0,0.0,62875.01,1
53558,15766272,Artemova,586,Germany,Male,45.0,5,150856.79,1,1.0,0.0,120668.46,1
21852,15571286,Scott,609,France,Male,39.0,4,0.0,2,1.0,0.0,120829.83,0
50360,15720644,Martin,789,Germany,Male,31.0,6,119962.55,1,0.0,0.0,118029.09,1
1446,15602909,Tsao,671,Spain,Male,27.0,8,0.0,2,1.0,1.0,147963.07,0
49334,15757535,Espinosa,806,France,Female,32.0,7,63763.49,1,1.0,0.0,156593.09,1
142078,15616168,Ojiofor,655,Germany,Male,32.0,8,71843.15,1,1.0,1.0,161217.18,0
119428,15573888,Manna,655,Germany,Female,33.0,7,121063.28,1,1.0,0.0,94570.93,1
71187,15593499,Hsiung,593,France,Male,30.0,2,0.0,2,1.0,0.0,12092.92,0
15570,15716334,Zetticci,581,France,Male,39.0,9,0.0,2,1.0,0.0,57531.17,0
154405,15738884,Ch'in,743,France,Male,43.0,8,141038.57,1,1.0,1.0,56583.88,0
139656,15774931,Rowntree,739,France,Female,33.0,8,0.0,1,0.0,1.0,73881.68,0
2418,15602479,Hsueh,679,France,Female,40.0,7,0.0,2,1.0,1.0,187905.12,0
17015,15813192,Chukwuemeka,494,France,Male,25.0,2,0.0,2,1.0,1.0,109988.09,0
44694,15735263,Shih,741,France,Female,40.0,3,0.0,2,1.0,0.0,47728.0,0
72651,15724444,Li Fonti,489,France,Male,29.0,10,112712.14,1,1.0,1.0,141896.74,0
113292,15776985,K?,636,France,Male,33.0,4,153895.22,1,1.0,1.0,91406.62,0
115989,15739858,Otitodilichukwu,623,France,Male,39.0,6,0.0,2,0.0,1.0,142454.77,0
16749,15756992,Chukwukere,701,Germany,Male,37.0,5,107601.79,1,1.0,0.0,18922.18,1
131944,15615096,Wang,710,France,Female,25.0,4,0.0,2,1.0,0.0,42039.67,0
97059,15751168,Yobachi,777,Spain,Female,24.0,2,0.0,2,1.0,1.0,193502.25,0
87311,15636423,Cremonesi,641,France,Male,31.0,1,0.0,1,1.0,0.0,121485.1,0
138490,15595039,Manna,524,France,Female,28.0,2,0.0,2,0.0,1.0,136050.44,0
64287,15658100,Piccio,695,France,Female,42.0,0,0.0,2,0.0,0.0,140724.64,0
136375,15756425,Tsao,693,France,Male,29.0,6,0.0,2,1.0,1.0,161559.12,0
9945,15683593,Yefremova,614,Spain,Male,29.0,5,142704.99,1,1.0,1.0,192505.74,0
101010,15767954,Osborne,635,Germany,Female,28.0,1,81623.67,2,1.0,1.0,156791.36,0
74855,15573348,Maclean,608,Spain,Male,38.0,8,0.0,1,1.0,0.0,166031.08,1
21189,15722731,Manna,653,France,Male,39.0,4,119556.1,1,1.0,0.0,78250.13,0
102120,15654733,Kwemto,811,Germany,Female,37.0,5,124593.23,2,1.0,0.0,99595.67,1
47075,15797760,Tuan,597,Germany,Male,32.0,8,111756.5,2,0.0,1.0,161671.15,0
84977,15720354,Knowles,554,France,Female,71.0,4,0.0,2,1.0,1.0,197562.08,0
150161,15631330,Hsia,611,France,Female,39.0,8,0.0,1,0.0,1.0,86516.19,1
125939,15720919,Palerma,588,France,Female,38.0,7,0.0,1,1.0,1.0,147090.97,1
38025,15590476,Tuan,689,Spain,Female,37.0,7,135847.47,1,1.0,0.0,151645.96,0
253,15747591,Naylor,691,France,Female,25.0,3,0.0,2,1.0,1.0,106837.06,0
122193,15807269,Nwachukwu,559,France,Male,32.0,1,0.0,2,1.0,1.0,148087.09,0
20450,15603411,Hs?eh,684,Germany,Male,33.0,9,152267.73,1,1.0,1.0,152996.85,0
51489,15755863,Milano,630,France,Female,49.0,1,0.0,2,0.0,1.0,162858.29,0
145353,15808566,Bellucci,576,France,Male,64.0,2,0.0,2,1.0,0.0,5790.9,1
4213,15661380,Walker,682,France,Male,69.0,6,0.0,2,1.0,0.0,149604.18,1
128723,15757577,Tsou,662,France,Male,37.0,5,0.0,2,1.0,1.0,120138.27,0
64561,15765487,Nwokeocha,718,France,Male,41.0,4,146780.69,1,1.0,1.0,167989.52,0
72974,15762783,Nwabugwu,623,France,Female,44.0,6,0.0,1,1.0,1.0,158750.97,1
36987,15676909,Brown,545,Germany,Male,36.0,6,112373.28,1,1.0,1.0,115650.63,0
63611,15609562,Ch'in,449,France,Male,41.0,4,76665.71,1,1.0,0.0,189307.7,1
118365,15607690,Chinwendu,661,France,Male,23.0,7,120911.75,1,0.0,1.0,132210.49,0
134255,15766659,Okwudilichukwu,625,Spain,Male,42.0,5,0.0,2,0.0,0.0,161002.29,0
107818,15761053,Chukwudi,498,France,Male,31.0,7,0.0,2,1.0,1.0,147599.4,0
150562,15697183,Uspensky,662,Spain,Female,49.0,7,0.0,2,1.0,1.0,89938.09,0
87999,15678727,Onyemauchechukwu,570,France,Male,46.0,1,0.0,2,1.0,1.0,141734.43,0
77812,15605059,Nwachinemelu,615,France,Male,63.0,9,0.0,2,1.0,1.0,3453.4,0
61142,15677906,Chigolum,714,Spain,Male,20.0,3,0.0,1,0.0,0.0,150465.93,0
46878,15813974,Hsieh,648,France,Male,43.0,5,0.0,1,1.0,1.0,113870.78,1
44432,15639946,O'Toole,750,Spain,Male,23.0,4,0.0,2,1.0,0.0,136329.96,0
98909,15670552,Smith,618,France,Female,37.0,4,168178.21,2,0.0,1.0,101273.23,0
50720,15799468,Coles,651,France,Female,33.0,1,0.0,2,1.0,1.0,124045.65,0
26752,15644765,Ch'ien,516,Germany,Female,47.0,4,108806.91,3,1.0,0.0,113581.5,1
64955,15797960,Skinner,562,Germany,Female,49.0,2,135296.33,1,0.0,0.0,182822.5,1
60718,15692671,H?,718,France,Female,20.0,3,142721.52,1,0.0,0.0,101433.76,0
66247,15576094,Doyne,619,France,Male,32.0,10,0.0,2,1.0,1.0,172674.56,0
27657,15750396,Chidozie,711,Spain,Male,35.0,7,145081.73,2,1.0,0.0,126434.61,0
128587,15681450,Milanesi,737,Spain,Male,34.0,8,0.0,2,1.0,0.0,54817.51,0
72941,15796811,Chukwukadibia,686,Germany,Male,40.0,8,122951.35,1,0.0,1.0,83501.65,1
159668,15571148,Fanucci,569,Germany,Male,41.0,3,119496.87,1,1.0,0.0,129562.74,1
26848,15799350,Mazzi,645,France,Male,40.0,5,0.0,2,0.0,0.0,187985.01,0
95165,15806913,Uwaezuoke,639,France,Male,54.0,1,0.0,1,1.0,0.0,173365.89,1
17839,15713250,Izmailova,488,France,Male,38.0,7,0.0,1,0.0,1.0,123509.01,0
67199,15771086,Zetticci,667,Germany,Male,49.0,7,154863.13,2,1.0,0.0,172363.69,1
112994,15768137,Bray,682,Spain,Female,43.0,2,0.0,2,0.0,1.0,136643.84,0
60869,15600734,Onwumelu,694,France,Female,41.0,8,0.0,2,1.0,1.0,126781.79,0
76768,15643696,Young,611,France,Male,49.0,4,0.0,2,1.0,1.0,142917.54,0
141818,15773869,T'ien,678,Spain,Female,34.0,8,0.0,1,1.0,0.0,82970.97,1
68966,15613017,Udegbulam,592,France,Male,37.0,0,0.0,2,1.0,0.0,937.15,0
143189,15578546,Ch'eng,638,Germany,Female,40.0,4,144880.34,1,1.0,0.0,177782.66,1
12705,15584897,Yefimova,590,France,Female,37.0,9,0.0,2,1.0,0.0,137980.58,0
29900,15715125,Mazzanti,637,France,Female,28.0,7,0.0,2,1.0,0.0,79886.07,0
75152,15689147,Hargreaves,711,France,Male,45.0,8,0.0,1,1.0,0.0,116781.71,1
33690,15771087,Mazzanti,681,France,Female,43.0,8,0.0,2,1.0,1.0,123499.98,0
137003,15807585,Y?an,689,Spain,Female,35.0,2,0.0,1,1.0,1.0,176913.35,0
71195,15641733,Chikwendu,572,France,Male,32.0,8,0.0,1,1.0,1.0,1375.46,0
164996,15591135,Medvedeva,507,Spain,Male,29.0,6,0.0,2,0.0,1.0,94780.9,0
18018,15697989,Riggs,531,France,Male,26.0,1,82696.89,1,1.0,1.0,121861.88,0
71297,15611024,Tien,667,France,Male,40.0,0,0.0,2,1.0,0.0,158036.72,0
77842,15810995,Galkina,775,Germany,Female,51.0,3,125584.17,2,1.0,0.0,88659.07,1
89775,15751033,Yobanna,613,France,Male,41.0,5,0.0,1,1.0,0.0,102515.49,1
28968,15579969,Nwachinemelu,714,France,Female,32.0,7,0.0,2,1.0,0.0,163666.85,0
124774,15664035,Salas,790,Spain,Female,37.0,9,0.0,2,1.0,1.0,149418.41,0
40753,15732967,Ponomarev,652,France,Male,33.0,5,0.0,2,1.0,1.0,49637.65,0
126320,15677908,Nwachinemelu,691,France,Female,28.0,5,0.0,2,0.0,0.0,80596.46,0
1208,15644878,Farrar,628,France,Male,32.0,7,0.0,2,1.0,0.0,170529.88,0
44088,15781874,Nwebube,648,France,Female,32.0,6,141827.07,1,1.0,0.0,86982.38,0
85782,15746461,Taylor,709,France,Male,35.0,2,0.0,2,1.0,0.0,104982.39,0
92557,15653595,Nnabuife,741,Germany,Male,58.0,4,142643.51,1,1.0,1.0,64423.57,1
85,15616700,H?,622,France,Male,29.0,9,0.0,2,1.0,1.0,155786.39,0
94557,15573520,Yobachi,644,Spain,Male,38.0,10,141796.05,1,1.0,0.0,162763.99,0
56342,15622993,Milani,635,France,Male,37.0,5,139859.54,2,1.0,0.0,125962.02,0
113150,15602731,Trevisani,637,Spain,Male,38.0,5,0.0,2,1.0,0.0,93832.71,0
67288,15732628,Hs?,721,Germany,Male,35.0,1,88109.81,2,1.0,0.0,45610.63,0
45245,15623471,MacPherson,705,France,Female,32.0,1,0.0,2,1.0,1.0,185547.71,0
139721,15804862,Y?an,588,France,Female,33.0,0,0.0,1,1.0,0.0,143096.09,1
68615,15753550,Levien,686,Spain,Female,41.0,0,0.0,1,1.0,0.0,131093.99,1
27926,15671387,Ponomaryov,633,France,Male,47.0,9,120787.18,1,1.0,1.0,102021.39,1
104926,15605835,Lo,696,France,Female,33.0,4,106416.05,1,0.0,0.0,122910.49,0
85207,15772337,Lawrence,723,Germany,Female,49.0,0,153855.52,1,1.0,1.0,180862.26,1
140769,15653772,Tuan,479,France,Female,43.0,6,0.0,2,1.0,0.0,125870.5,0
20344,15744582,Ho,699,France,Male,38.0,8,0.0,2,1.0,1.0,188639.28,0
34618,15685765,T'ien,673,France,Male,34.0,6,0.0,2,1.0,1.0,148527.56,0
104273,15614778,Hsia,624,France,Female,38.0,9,121175.54,1,1.0,1.0,150694.42,0
152701,15600792,Swayne,590,Spain,Male,48.0,2,0.0,2,0.0,1.0,133831.37,0
56132,15691483,Chin,626,France,Female,34.0,5,0.0,2,0.0,0.0,190857.79,0
34040,15612494,Ts'ao,637,France,Male,32.0,1,0.0,2,1.0,1.0,141927.43,0
49210,15737194,Tu,635,France,Female,54.0,5,0.0,2,0.0,1.0,122949.71,0
139406,15583680,White,596,France,Male,41.0,4,0.0,2,0.0,1.0,149278.96,0
19440,15798532,Chinwendu,501,France,Male,54.0,1,0.0,1,1.0,1.0,130486.58,1
139838,15662854,Manna,681,Germany,Male,43.0,5,139714.4,1,0.0,0.0,73066.72,1
29737,15743817,Lai,535,France,Male,27.0,1,0.0,2,1.0,0.0,119327.75,0
128037,15809265,Kao,802,France,Female,35.0,10,0.0,2,0.0,1.0,113597.64,0
6950,15806923,Martin,773,Spain,Male,27.0,8,0.0,1,0.0,0.0,114722.15,0
24193,15756918,Gilleland,844,France,Male,38.0,7,0.0,2,1.0,1.0,158750.13,0
139471,15569595,Lueck,682,Germany,Female,40.0,3,113899.62,2,1.0,1.0,129844.6,0
112674,15789582,Macleod,587,France,Male,34.0,9,0.0,2,1.0,1.0,64593.07,0
142449,15704466,Chukwualuka,521,France,Male,50.0,5,0.0,1,1.0,1.0,122547.02,1
161141,15703205,Uwaezuoke,560,France,Female,28.0,8,0.0,2,1.0,0.0,138849.06,0
160274,15650864,Lo,575,France,Female,40.0,3,0.0,2,0.0,0.0,125082.42,0
20419,15749947,Dominguez,554,Spain,Male,29.0,5,0.0,2,1.0,1.0,83469.93,0
132040,15643966,Yao,619,France,Male,43.0,2,0.0,2,1.0,1.0,75578.67,0
120293,15682268,Steere,583,France,Female,26.0,8,114430.18,1,1.0,0.0,154749.46,0
43261,15762891,Yudina,590,Spain,Female,34.0,9,0.0,2,0.0,1.0,1285.66,0
151006,15714260,Hsiung,697,France,Female,38.0,7,0.0,2,0.0,1.0,104079.53,0
104536,15675983,Nnachetam,774,France,Female,36.0,3,104817.34,1,1.0,1.0,129933.5,0
14069,15758831,Kable,800,Germany,Male,32.0,7,108007.36,1,0.0,0.0,47161.25,1
143443,15663933,Lo Duca,669,France,Female,40.0,4,0.0,1,0.0,0.0,107435.83,1
103478,15793896,Chukwudi,619,Germany,Female,50.0,9,121542.57,1,1.0,0.0,103421.82,1
4924,15772381,Shao,667,Germany,Male,41.0,2,116777.42,2,1.0,1.0,116692.8,0
40498,15712608,Ponce,607,Germany,Male,42.0,6,79563.83,1,1.0,0.0,72765.8,1
149157,15606811,Yefimova,632,Spain,Female,52.0,7,0.0,1,0.0,1.0,88206.04,1
28204,15640106,Mancini,613,France,Male,40.0,0,165686.11,2,0.0,0.0,19998.31,0
92512,15744843,K'ung,629,Spain,Male,34.0,5,144855.34,2,1.0,1.0,196555.32,0
14107,15655410,Tuan,598,France,Female,23.0,6,106517.17,2,1.0,1.0,77551.25,0
153451,15813034,Brady,727,Spain,Male,38.0,2,62276.99,1,1.0,1.0,59280.79,0
102354,15783865,Chukwuemeka,694,France,Male,34.0,3,0.0,2,1.0,0.0,199290.68,0
40835,15783526,Genovese,583,France,Male,43.0,9,0.0,1,1.0,1.0,161429.82,1
3093,15625942,Nkemjika,627,Spain,Male,29.0,9,109172.78,1,1.0,0.0,76637.12,0
111545,15572847,Milani,579,Germany,Male,47.0,10,117696.67,1,1.0,0.0,157083.28,1
143026,15726313,Trevisani,682,France,Male,38.0,5,0.0,2,1.0,1.0,57558.95,0
25333,15700964,Lucciano,703,Germany,Female,54.0,5,132623.6,1,0.0,0.0,164815.59,1
55472,15696834,Cone,530,France,Female,25.0,5,0.0,2,1.0,0.0,121451.21,0
134954,15690153,Sun,639,France,Female,37.0,4,116121.84,1,0.0,1.0,181850.74,0
40550,15744044,Ch'iu,559,France,Male,32.0,7,0.0,2,1.0,1.0,27862.58,0
93679,15787035,Scott,615,France,Male,37.0,7,0.0,2,1.0,1.0,138052.19,0
93340,15806771,Teng,681,Germany,Male,31.0,9,123845.36,2,0.0,1.0,93943.18,0
113789,15794122,T'ien,672,France,Male,67.0,6,0.0,1,0.0,1.0,183542.08,1
118509,15702631,Kaur,850,Spain,Male,31.0,3,118158.74,1,1.0,0.0,169117.74,0
109729,15668679,Ozerova,630,France,Male,44.0,0,0.0,2,1.0,1.0,34475.14,0
76610,15589323,Maclean,676,Germany,Female,36.0,9,145874.2,2,1.0,1.0,171060.24,0
33918,15686463,Fu,626,France,Male,38.0,7,141074.59,1,0.0,1.0,52795.56,0
110840,15689492,Lo,678,Spain,Male,39.0,6,172478.15,1,1.0,0.0,18203.0,1
163128,15595588,Chukwunonso,662,Spain,Male,35.0,8,0.0,2,0.0,1.0,182081.45,0
49517,15603665,Colombo,645,France,Male,37.0,5,122501.28,2,1.0,1.0,95007.8,0
128940,15763194,Milanesi,754,France,Male,37.0,2,0.0,1,1.0,0.0,100304.13,1
9086,15700693,Samaniego,673,France,Female,68.0,8,111723.08,1,1.0,1.0,59864.96,1
40363,15786433,Uvarov,643,Germany,Female,67.0,3,111362.62,2,0.0,1.0,80181.12,1
66823,15787619,Ugochukwu,687,France,Female,46.0,8,0.0,1,0.0,0.0,133535.21,1
15070,15737506,Okwudiliolisa,638,France,Male,30.0,6,0.0,1,1.0,0.0,121151.1,0
28142,15677395,Nwabugwu,633,France,Female,39.0,9,129189.15,1,0.0,0.0,170998.83,1
116644,15777892,Iweobiegbunam,672,Spain,Female,35.0,0,0.0,2,1.0,1.0,172668.39,0
96831,15592454,Ch'ien,599,France,Male,33.0,1,96656.88,1,1.0,0.0,158843.99,0
61646,15766427,Fanucci,677,Germany,Female,33.0,9,135814.7,2,1.0,1.0,143783.45,0
19231,15610271,Pirozzi,597,France,Male,31.0,9,103219.47,1,1.0,0.0,60420.07,0
1075,15658067,Walker,636,Germany,Female,37.0,3,120568.41,1,1.0,1.0,190160.04,1
47326,15762482,Ohearn,613,France,Female,27.0,9,0.0,2,1.0,1.0,151481.86,0
44613,15605791,Li,703,Spain,Male,49.0,3,0.0,2,1.0,0.0,41626.78,1
121602,15662232,Onyemauchechukwu,596,France,Male,24.0,6,0.0,2,0.0,1.0,86950.72,0
111637,15598070,Drury,468,Spain,Male,26.0,1,131643.25,1,1.0,0.0,64436.16,0
91819,15649536,Fyodorova,850,Germany,Male,48.0,9,154584.24,2,1.0,1.0,166476.95,1
28181,15749300,Oluchi,683,Spain,Female,34.0,3,0.0,2,1.0,1.0,152495.79,0
148536,15792660,Nkemakolam,749,Germany,Male,71.0,7,128829.25,1,1.0,1.0,181794.86,1
157368,15604929,Hsu,571,France,Male,31.0,8,98643.45,1,1.0,1.0,140933.39,0
149874,15682928,Chiazagomekpere,695,Spain,Male,39.0,5,65521.2,1,1.0,1.0,1243.97,0
107369,15648967,Guerra,581,France,Female,39.0,3,169406.33,2,1.0,1.0,71167.17,0
117930,15787825,Nkemdilim,689,Germany,Male,34.0,6,95900.04,2,1.0,1.0,52461.01,0
151553,15772479,Yobanna,597,France,Male,26.0,5,140356.7,1,0.0,0.0,117144.15,0
13354,15585835,Shao,710,France,Male,31.0,2,125511.72,1,1.0,1.0,88890.05,0
144117,15655339,Onwumelu,616,Spain,Male,43.0,5,0.0,2,1.0,1.0,74415.2,0
82307,15743196,P'eng,667,Spain,Male,42.0,7,0.0,2,1.0,0.0,159618.17,0
123307,15613014,Hs?,698,France,Female,29.0,2,0.0,2,1.0,0.0,24924.92,0
55265,15717307,Lo Duca,553,France,Male,56.0,2,113522.64,1,1.0,1.0,60427.3,1
64125,15729377,Onyemauchechi,641,Germany,Female,55.0,6,112930.28,1,0.0,1.0,176768.59,1
4324,15815095,Palerma,546,Germany,Female,37.0,1,106074.89,2,1.0,1.0,26389.92,0
65194,15642530,Chidalu,724,France,Male,37.0,4,153656.85,1,1.0,1.0,123615.01,0
30904,15670163,Nwabugwu,679,France,Female,40.0,10,0.0,1,0.0,1.0,128882.66,1
3929,15780056,Hsiung,590,Germany,Female,39.0,7,116800.25,2,1.0,0.0,70785.27,1
5154,15573520,Raff,773,Germany,Male,40.0,3,149961.76,1,0.0,0.0,187632.24,1
127755,15783026,Ubanwa,539,France,Male,41.0,4,0.0,2,1.0,1.0,126307.97,0
134231,15578835,Kao,649,Spain,Male,50.0,5,133204.91,2,0.0,1.0,8270.06,0
126730,15660385,Martin,758,France,Female,33.0,7,0.0,2,1.0,0.0,28204.98,0
126254,15573045,Earl,547,France,Male,62.0,7,127738.75,2,1.0,1.0,85153.0,0
1758,15583548,Ting,733,Spain,Male,30.0,2,0.0,2,1.0,1.0,108577.37,0
123145,15758136,King,778,France,Male,37.0,3,0.0,2,1.0,1.0,179421.84,0
116276,15635116,Niu,659,Spain,Female,46.0,2,0.0,1,1.0,0.0,177480.45,1
